term,term_count,term_ratio,doc_count,doc_ratio,sample_size
tick,35,0.368,34,0.358,95
meat,28,0.295,28,0.295,95
bite,22,0.232,19,0.2,95
allergy,18,0.189,18,0.189,95
human,15,0.158,15,0.158,95
pig,14,0.147,14,0.147,95
kidney,14,0.147,14,0.147,95
bites,13,0.137,13,0.137,95
allergic,12,0.126,12,0.126,95
red,10,0.105,10,0.105,95
transplant,7,0.0737,7,0.0737,95
teen,6,0.0632,6,0.0632,95
aussies,6,0.0632,6,0.0632,95
news,6,0.0632,6,0.0632,95
life,6,0.0632,6,0.0632,95
woman,6,0.0632,6,0.0632,95
deadly,5,0.0526,5,0.0526,95
health,5,0.0526,5,0.0526,95
disease,5,0.0526,5,0.0526,95
coast,5,0.0526,5,0.0526,95
ticks,5,0.0526,5,0.0526,95
lyme,5,0.0526,5,0.0526,95
surgeons,5,0.0526,5,0.0526,95
allergies,5,0.0526,5,0.0526,95
patient,5,0.0526,5,0.0526,95
death,4,0.0421,4,0.0421,95
camping,4,0.0421,4,0.0421,95
trip,4,0.0421,4,0.0421,95
risk,4,0.0421,4,0.0421,95
vegetarian,4,0.0421,4,0.0421,95
success,4,0.0421,4,0.0421,95
attached,4,0.0421,4,0.0421,95
scientific,4,0.0421,4,0.0421,95
breakthrough,4,0.0421,4,0.0421,95
triggers,4,0.0421,4,0.0421,95
explosion,4,0.0421,4,0.0421,95
prevented,4,0.0421,4,0.0421,95
caused,3,0.0316,3,0.0316,95
warned,3,0.0316,3,0.0316,95
danger,3,0.0316,3,0.0316,95
"450,000",3,0.0316,3,0.0316,95
emerge,3,0.0316,3,0.0316,95
bring,3,0.0316,3,0.0316,95
east,3,0.0316,3,0.0316,95
phenomenon,3,0.0316,3,0.0316,95
linked,3,0.0316,3,0.0316,95
vaccinated,3,0.0316,3,0.0316,95
preach,3,0.0316,3,0.0316,95
morals,3,0.0316,3,0.0316,95
immoral,3,0.0316,3,0.0316,95
fatal,3,0.0316,3,0.0316,95
lucky,3,0.0316,3,0.0316,95
alive,3,0.0316,3,0.0316,95
bizarre,3,0.0316,3,0.0316,95
reason,3,0.0316,3,0.0316,95
insect,3,0.0316,3,0.0316,95
turn,3,0.0316,3,0.0316,95
severe,3,0.0316,3,0.0316,95
reactions,3,0.0316,3,0.0316,95
spreading,2,0.0211,2,0.0211,95
worry,2,0.0211,2,0.0211,95
final,2,0.0211,2,0.0211,95
meal,2,0.0211,2,0.0211,95
people,2,0.0211,2,0.0211,95
warning,2,0.0211,2,0.0211,95
sydney,2,0.0211,2,0.0211,95
northern,2,0.0211,2,0.0211,95
beaches,2,0.0211,2,0.0211,95
man,2,0.0211,2,0.0211,95
echonetdaily,2,0.0211,2,0.0211,95
spotlight,2,0.0211,2,0.0211,95
legacy,2,0.0211,2,0.0211,95
little,2,0.0211,2,0.0211,95
bitten,2,0.0211,2,0.0211,95
developed,2,0.0211,2,0.0211,95
altering,2,0.0211,2,0.0211,95
spread,2,0.0211,2,0.0211,95
so,2,0.0211,2,0.0211,95
ceo,2,0.0211,2,0.0211,95
daughter,2,0.0211,2,0.0211,95
takes,2,0.0211,2,0.0211,95
diagnosis,2,0.0211,2,0.0211,95
report,2,0.0211,2,0.0211,95
longest,2,0.0211,2,0.0211,95
successful,2,0.0211,2,0.0211,95
hot,2,0.0211,2,0.0211,95
weather,2,0.0211,2,0.0211,95
outdoors,2,0.0211,2,0.0211,95
uptick,2,0.0211,2,0.0211,95
concern,2,0.0211,2,0.0211,95
south,2,0.0211,2,0.0211,95
traces,2,0.0211,2,0.0211,95
long,2,0.0211,2,0.0211,95
list,2,0.0211,2,0.0211,95
issues,2,0.0211,2,0.0211,95
back,2,0.0211,2,0.0211,95
transplanted,2,0.0211,2,0.0211,95
dead,2,0.0211,2,0.0211,95
tiques,2,0.0211,2,0.0211,95
nsw,1,0.0105,1,0.0105,95
